ec5_uuid,created_at,uploaded_at,title,lat_1_Where_is_this_poth,long_1_Where_is_this_poth,accuracy_1_Where_is_this_poth,UTM_Northing_1_Where_is_this_poth,UTM_Easting_1_Where_is_this_poth,UTM_Zone_1_Where_is_this_poth,2_Please_take_a_phot,3_Tutorial_GroupSmal
d51adcbf-f9e7-423a-be68-42dcc296bb88,2021-03-05T17:19:29.445Z,2021-03-05T17:20:02.000Z,d51adcbf-f9e7-423a-be68-42dcc296bb88,51.573184,-0.120505,32,5717497,699534,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=d51adcbf-f9e7-423a-be68-42dcc296bb88_1614964754.jpg,B5
dd70709c-e16d-493a-8332-aa5386e36285,2021-03-05T13:55:12.821Z,2021-03-05T13:57:13.000Z,dd70709c-e16d-493a-8332-aa5386e36285,51.426041,-2.522599,4687,5697312,533191,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=dd70709c-e16d-493a-8332-aa5386e36285_1614952503.jpg,A11
cfa85277-5299-4014-9c6a-3c898e6325ae,2021-03-05T13:54:45.932Z,2021-03-05T13:57:11.000Z,cfa85277-5299-4014-9c6a-3c898e6325ae,51.426041,-2.522599,4687,5697312,533191,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=cfa85277-5299-4014-9c6a-3c898e6325ae_1614952477.jpg,A11
8b55b72a-1cf2-4e5d-9d8c-dbe348d7ca24,2021-03-05T13:54:19.683Z,2021-03-05T13:57:09.000Z,8b55b72a-1cf2-4e5d-9d8c-dbe348d7ca24,51.426041,-2.522599,4687,5697312,533191,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=8b55b72a-1cf2-4e5d-9d8c-dbe348d7ca24_1614952453.jpg,A11
62912733-ce30-4394-95e1-cec86099c19d,2021-03-05T13:50:46.656Z,2021-03-05T13:57:07.000Z,62912733-ce30-4394-95e1-cec86099c19d,51.426041,-2.522599,4687,5697312,533191,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=62912733-ce30-4394-95e1-cec86099c19d_1614952237.jpg,A11
92efadf5-0ca0-4dc1-b345-e83a453282d0,2021-03-05T10:03:04.406Z,2021-03-05T10:05:29.000Z,92efadf5-0ca0-4dc1-b345-e83a453282d0,51.245888,-2.232712,4,5677448,553554,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=92efadf5-0ca0-4dc1-b345-e83a453282d0_1614938573.jpg,B7
f656af76-3ef5-4ba5-a654-b0a4af36a650,2021-03-05T10:02:24.561Z,2021-03-05T10:05:27.000Z,f656af76-3ef5-4ba5-a654-b0a4af36a650,51.246091,-2.232721,4,5677471,553554,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=f656af76-3ef5-4ba5-a654-b0a4af36a650_1614938536.jpg,B7
3c0ed52a-54cb-4a52-81b9-da4ae7ed03a8,2021-03-05T10:01:51.398Z,2021-03-05T10:05:25.000Z,3c0ed52a-54cb-4a52-81b9-da4ae7ed03a8,51.246295,-2.232781,4,5677494,553549,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=3c0ed52a-54cb-4a52-81b9-da4ae7ed03a8_1614938501.jpg,B7
459a8379-cb76-48c8-9b4f-201a1f0fc375,2021-03-05T10:01:18.082Z,2021-03-05T10:05:23.000Z,459a8379-cb76-48c8-9b4f-201a1f0fc375,51.246424,-2.232808,4,5677508,553547,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=459a8379-cb76-48c8-9b4f-201a1f0fc375_1614938469.jpg,B7
ea784d2e-bc11-474a-a463-6321e591c838,2021-03-05T10:00:18.000Z,2021-03-05T10:05:21.000Z,ea784d2e-bc11-474a-a463-6321e591c838,51.246446,-2.232797,4,5677510,553548,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=ea784d2e-bc11-474a-a463-6321e591c838_1614938359.jpg,B7
9b8dfe80-7d97-11eb-ae18-3dfc6d8ccd5b,2021-03-05T09:46:06.824Z,2021-03-05T09:47:01.000Z,9b8dfe80-7d97-11eb-ae18-3dfc6d8ccd5b,50.350759,-4.12037,4,5578230,420292,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=9b8dfe80-7d97-11eb-ae18-3dfc6d8ccd5b_1614937614.jpg,B1
b7fb5df7-0111-4557-ae54-ac6c0f9429ed,2021-03-05T09:45:41.212Z,2021-03-05T10:00:26.000Z,b7fb5df7-0111-4557-ae54-ac6c0f9429ed,54.777955,-1.564067,48,6071028,592357,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=b7fb5df7-0111-4557-ae54-ac6c0f9429ed_1614937528.jpg,B2
73388630-7d97-11eb-ae18-3dfc6d8ccd5b,2021-03-05T09:44:59.155Z,2021-03-05T09:46:03.000Z,73388630-7d97-11eb-ae18-3dfc6d8ccd5b,50.351835,-4.120541,4,5578350,420282,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=73388630-7d97-11eb-ae18-3dfc6d8ccd5b_1614937555.jpg,B1
63d3d4df-ea4d-458c-9060-8873c59ed4eb,2021-03-05T09:44:18.303Z,2021-03-05T10:10:44.000Z,63d3d4df-ea4d-458c-9060-8873c59ed4eb,54.778388,-1.554638,5,6071089,592963,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=63d3d4df-ea4d-458c-9060-8873c59ed4eb_1614937451.jpg,B7
50fc0740-7d97-11eb-ae18-3dfc6d8ccd5b,2021-03-05T09:44:01.716Z,2021-03-05T09:44:55.000Z,50fc0740-7d97-11eb-ae18-3dfc6d8ccd5b,50.342994,-4.089723,4,5577335,422460,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=50fc0740-7d97-11eb-ae18-3dfc6d8ccd5b_1614937484.jpg,B1
e6ef4d8c-2dc2-45ba-9161-1c64ed27b1ed,2021-03-05T09:43:28.370Z,2021-03-05T09:43:47.000Z,e6ef4d8c-2dc2-45ba-9161-1c64ed27b1ed,54.775094,-1.574562,5,6070696,591689,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=e6ef4d8c-2dc2-45ba-9161-1c64ed27b1ed_1614937401.jpg,B1
