Unnamed: 0,ec5_uuid,created_at,uploaded_at,title,lat_1_Where_is_this_poth,long_1_Where_is_this_poth,accuracy_1_Where_is_this_poth,UTM_Northing_1_Where_is_this_poth,UTM_Easting_1_Where_is_this_poth,UTM_Zone_1_Where_is_this_poth,2_Please_take_a_phot,3_Tutorial_GroupSmal,Ranking
0,d51adcbf-f9e7-423a-be68-42dcc296bb88,2021-03-05T17:19:29.445Z,2021-03-05T17:20:02.000Z,d51adcbf-f9e7-423a-be68-42dcc296bb88,51.573184,-0.120505,32.0,5717497.0,699534.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=d51adcbf-f9e7-423a-be68-42dcc296bb88_1614964754.jpg,B5,10.0
1,dd70709c-e16d-493a-8332-aa5386e36285,2021-03-05T13:55:12.821Z,2021-03-05T13:57:13.000Z,dd70709c-e16d-493a-8332-aa5386e36285,51.426041,-2.522599,4687.0,5697312.0,533191.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=dd70709c-e16d-493a-8332-aa5386e36285_1614952503.jpg,A11,10.0
2,cfa85277-5299-4014-9c6a-3c898e6325ae,2021-03-05T13:54:45.932Z,2021-03-05T13:57:11.000Z,cfa85277-5299-4014-9c6a-3c898e6325ae,51.426041,-2.522599,4687.0,5697312.0,533191.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=cfa85277-5299-4014-9c6a-3c898e6325ae_1614952477.jpg,A11,0.0
3,8b55b72a-1cf2-4e5d-9d8c-dbe348d7ca24,2021-03-05T13:54:19.683Z,2021-03-05T13:57:09.000Z,8b55b72a-1cf2-4e5d-9d8c-dbe348d7ca24,51.426041,-2.522599,4687.0,5697312.0,533191.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=8b55b72a-1cf2-4e5d-9d8c-dbe348d7ca24_1614952453.jpg,A11,0.0
4,62912733-ce30-4394-95e1-cec86099c19d,2021-03-05T13:50:46.656Z,2021-03-05T13:57:07.000Z,62912733-ce30-4394-95e1-cec86099c19d,51.426041,-2.522599,4687.0,5697312.0,533191.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=62912733-ce30-4394-95e1-cec86099c19d_1614952237.jpg,A11,0.0
5,92efadf5-0ca0-4dc1-b345-e83a453282d0,2021-03-05T10:03:04.406Z,2021-03-05T10:05:29.000Z,92efadf5-0ca0-4dc1-b345-e83a453282d0,51.245888,-2.232712,4.0,5677448.0,553554.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=92efadf5-0ca0-4dc1-b345-e83a453282d0_1614938573.jpg,B7,0.0
6,f656af76-3ef5-4ba5-a654-b0a4af36a650,2021-03-05T10:02:24.561Z,2021-03-05T10:05:27.000Z,f656af76-3ef5-4ba5-a654-b0a4af36a650,51.246091,-2.232721,4.0,5677471.0,553554.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=f656af76-3ef5-4ba5-a654-b0a4af36a650_1614938536.jpg,B7,0.0
7,3c0ed52a-54cb-4a52-81b9-da4ae7ed03a8,2021-03-05T10:01:51.398Z,2021-03-05T10:05:25.000Z,3c0ed52a-54cb-4a52-81b9-da4ae7ed03a8,51.246295,-2.232781,4.0,5677494.0,553549.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=3c0ed52a-54cb-4a52-81b9-da4ae7ed03a8_1614938501.jpg,B7,0.0
8,459a8379-cb76-48c8-9b4f-201a1f0fc375,2021-03-05T10:01:18.082Z,2021-03-05T10:05:23.000Z,459a8379-cb76-48c8-9b4f-201a1f0fc375,51.246424,-2.232808,4.0,5677508.0,553547.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=459a8379-cb76-48c8-9b4f-201a1f0fc375_1614938469.jpg,B7,0.0
9,ea784d2e-bc11-474a-a463-6321e591c838,2021-03-05T10:00:18.000Z,2021-03-05T10:05:21.000Z,ea784d2e-bc11-474a-a463-6321e591c838,51.246446,-2.232797,4.0,5677510.0,553548.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=ea784d2e-bc11-474a-a463-6321e591c838_1614938359.jpg,B7,0.0
10,9b8dfe80-7d97-11eb-ae18-3dfc6d8ccd5b,2021-03-05T09:46:06.824Z,2021-03-05T09:47:01.000Z,9b8dfe80-7d97-11eb-ae18-3dfc6d8ccd5b,50.350759,-4.12037,4.0,5578230.0,420292.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=9b8dfe80-7d97-11eb-ae18-3dfc6d8ccd5b_1614937614.jpg,B1,0.0
11,b7fb5df7-0111-4557-ae54-ac6c0f9429ed,2021-03-05T09:45:41.212Z,2021-03-05T10:00:26.000Z,b7fb5df7-0111-4557-ae54-ac6c0f9429ed,54.777955,-1.564067,48.0,6071028.0,592357.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=b7fb5df7-0111-4557-ae54-ac6c0f9429ed_1614937528.jpg,B2,0.0
12,73388630-7d97-11eb-ae18-3dfc6d8ccd5b,2021-03-05T09:44:59.155Z,2021-03-05T09:46:03.000Z,73388630-7d97-11eb-ae18-3dfc6d8ccd5b,50.351835,-4.120541,4.0,5578350.0,420282.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=73388630-7d97-11eb-ae18-3dfc6d8ccd5b_1614937555.jpg,B1,0.0
13,63d3d4df-ea4d-458c-9060-8873c59ed4eb,2021-03-05T09:44:18.303Z,2021-03-05T10:10:44.000Z,63d3d4df-ea4d-458c-9060-8873c59ed4eb,54.778388,-1.554638,5.0,6071089.0,592963.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=63d3d4df-ea4d-458c-9060-8873c59ed4eb_1614937451.jpg,B7,0.0
14,50fc0740-7d97-11eb-ae18-3dfc6d8ccd5b,2021-03-05T09:44:01.716Z,2021-03-05T09:44:55.000Z,50fc0740-7d97-11eb-ae18-3dfc6d8ccd5b,50.342994,-4.089723,4.0,5577335.0,422460.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=50fc0740-7d97-11eb-ae18-3dfc6d8ccd5b_1614937484.jpg,B1,0.0
15,e6ef4d8c-2dc2-45ba-9161-1c64ed27b1ed,2021-03-05T09:43:28.370Z,2021-03-05T09:43:47.000Z,e6ef4d8c-2dc2-45ba-9161-1c64ed27b1ed,54.775094,-1.574562,5.0,6070696.0,591689.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=e6ef4d8c-2dc2-45ba-9161-1c64ed27b1ed_1614937401.jpg,B1,0.0
16,b61d105b-5a96-4070-8147-e242dfe370ac,2021-03-05T09:43:16.383Z,2021-03-05T10:00:28.000Z,b61d105b-5a96-4070-8147-e242dfe370ac,54.778475,-1.561885,24.0,6071089.0,592497.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=b61d105b-5a96-4070-8147-e242dfe370ac_1614937356.jpg,B2,0.0
17,a406c786-e12c-4b3a-855e-5081cd71e6a3,2021-03-05T09:43:11.006Z,2021-03-05T09:43:46.000Z,a406c786-e12c-4b3a-855e-5081cd71e6a3,54.775214,-1.574643,5.0,6070709.0,591683.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=a406c786-e12c-4b3a-855e-5081cd71e6a3_1614937381.jpg,B1,0.0
18,24584370-7d97-11eb-ae18-3dfc6d8ccd5b,2021-03-05T09:42:46.823Z,2021-03-05T09:43:58.000Z,24584370-7d97-11eb-ae18-3dfc6d8ccd5b,50.343293,-4.093981,4.0,5577372.0,422158.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=24584370-7d97-11eb-ae18-3dfc6d8ccd5b_1614937431.jpg,B1,0.0
19,071803f0-453b-4998-b196-3bcc79358c91,2021-03-05T09:42:39.511Z,2021-03-05T09:43:44.000Z,071803f0-453b-4998-b196-3bcc79358c91,54.775291,-1.574631,5.0,6070718.0,591684.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=071803f0-453b-4998-b196-3bcc79358c91_1614937351.jpg,B1,0.0
20,147f565c-057a-4961-a0a7-47d98d8a00b6,2021-03-05T09:42:32.713Z,2021-03-05T10:10:42.000Z,147f565c-057a-4961-a0a7-47d98d8a00b6,54.77877,-1.555287,30.0,6071130.0,592920.0,30U,https://five.epicollect.net/api/media/igr?type=photo&format=entry_original&name=147f565c-057a-4961-a0a7-47d98d8a00b6_1614937343.jpg,B7,0.0
